DR_NO,Date_Rptd,DATE_OCC,TIME_OCC,AREA,AREA_NAME,Rpt_Dist_No,Part_1_2,Crm_Cd,Crm_Cd_Desc,Mocodes,Vict_Age,Vict_Sex,Vict_Descent,Premis_Cd,Premis_Desc,Weapon_Used_Cd,Weapon_Desc,Status,Status_Desc,Crm_Cd_1,Crm_Cd_2,Crm_Cd_3,Crm_Cd_4,LOCATION,Cross_Street,LAT,LON
100118940,10/19/2010 12:00:00 AM,10/19/2010 12:00:00 AM,0700,01,Central,0166,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,43,M,H,504,OTHER RESIDENCE,,,IC,Invest Cont,440,,,,600    SAN JULIAN                   ST,,34.0428,-118.2461
100118941,10/19/2010 12:00:00 AM,07/29/2010 12:00:00 AM,1500,01,Central,0181,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0601,27,M,W,713,CONVENTION CENTER,,,IC,Invest Cont,341,,,,1200 S  FIGUEROA                     ST,,34.0423,-118.2666
100118944,10/19/2010 12:00:00 AM,10/19/2010 12:00:00 AM,1600,01,Central,0152,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,56,M,H,738,LIBRARY,,,IC,Invest Cont,440,,,,600 W  5TH                          ST,,34.0502,-118.254
100118951,10/19/2010 12:00:00 AM,10/19/2010 12:00:00 AM,2200,01,Central,0171,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,0,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
100118954,10/19/2010 12:00:00 AM,10/19/2010 12:00:00 AM,2340,01,Central,0171,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,26,F,B,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,FIGUEROA,11TH                         ST,34.0437,-118.2652
100118955,10/19/2010 12:00:00 AM,10/19/2010 12:00:00 AM,1645,01,Central,0182,2,624,BATTERY - SIMPLE ASSAULT,0416 2000,24,F,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,GRAND,11TH                         ST,34.0416,-118.262
100118957,10/19/2010 12:00:00 AM,10/04/2010 12:00:00 AM,0001,01,Central,0176,2,354,THEFT OF IDENTITY,,53,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,700 S  LOS ANGELES                  ST,,34.0433,-118.2504
100118958,10/19/2010 12:00:00 AM,10/17/2010 12:00:00 AM,1000,01,Central,0111,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,30,M,W,108,PARKING LOT,,,IC,Invest Cont,740,,,,500 N  FIGUEROA                     ST,,34.0617,-118.2469
100118959,10/19/2010 12:00:00 AM,10/17/2010 12:00:00 AM,1000,01,Central,0111,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,31,F,W,108,PARKING LOT,,,IC,Invest Cont,745,,,,500 N  FIGUEROA                     ST,,34.0617,-118.2469
100118960,10/19/2010 12:00:00 AM,10/18/2010 12:00:00 AM,1330,01,Central,0192,1,310,BURGLARY,0344 1607,53,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,200 W  14TH                         ST,,34.0361,-118.2634
100118961,10/19/2010 12:00:00 AM,10/19/2010 12:00:00 AM,1500,01,Central,0142,1,330,BURGLARY FROM VEHICLE,0344 1307,45,F,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,400 S  FLOWER                       ST,,34.0529,-118.2549
100118963,10/19/2010 12:00:00 AM,10/19/2010 12:00:00 AM,0500,01,Central,0138,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0417 2000,49,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,300 S  SAN PEDRO                    ST,,34.0473,-118.2425
100118964,10/19/2010 12:00:00 AM,10/16/2010 12:00:00 AM,0001,01,Central,0164,2,354,THEFT OF IDENTITY,,37,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,600 S  MAIN                         ST,,34.0453,-118.2499
100118966,10/18/2010 12:00:00 AM,10/18/2010 12:00:00 AM,1110,01,Central,0159,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1501,0,M,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,237,,,,7TH                          ST,MILL                         ST,34.0347,-118.2345
100118967,10/20/2010 12:00:00 AM,10/18/2010 12:00:00 AM,1100,01,Central,0159,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1501,2,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,237,,,,7TH,MILL,34.0347,-118.2345
100118968,10/18/2010 12:00:00 AM,10/18/2010 12:00:00 AM,1110,01,Central,0159,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1501,0,M,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,237,,,,7TH                          ST,MILL                         ST,34.0347,-118.2345
100118969,10/20/2010 12:00:00 AM,10/19/2010 12:00:00 AM,1730,01,Central,0101,1,310,BURGLARY,0344,62,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,1200 W  SUNSET                       BL,,34.0682,-118.2502
100118971,10/20/2010 12:00:00 AM,10/12/2010 12:00:00 AM,0005,01,Central,0143,2,624,BATTERY - SIMPLE ASSAULT,0400,28,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,4TH                          ST,HILL                         ST,34.0503,-118.2504
100118972,10/20/2010 12:00:00 AM,10/12/2010 12:00:00 AM,0005,01,Central,0143,2,624,BATTERY - SIMPLE ASSAULT,0400,25,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,4TH                          ST,HILL                         ST,34.0503,-118.2504
100118985,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,0515,01,Central,0162,1,310,BURGLARY,0321 0329 0601 1607,29,F,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,310,,,,700 S  FLOWER                       ST,,34.0487,-118.2588
100118986,10/20/2010 12:00:00 AM,10/19/2010 12:00:00 AM,0900,01,Central,0152,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0601,60,F,W,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,341,,,,500 W  6TH                          ST,,34.0481,-118.2542
100118987,10/20/2010 12:00:00 AM,10/19/2010 12:00:00 AM,1630,01,Central,0142,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,42,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,400 S  FIGUEROA                     ST,,34.0535,-118.256
100119475,10/30/2010 12:00:00 AM,10/29/2010 12:00:00 AM,2100,01,Central,0155,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,53,M,W,101,STREET,,,IC,Invest Cont,440,,,,6TH                          ST,MAPLE,34.0435,-118.2471
100118988,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,1230,01,Central,0192,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0601,19,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,600 W  PICO                         BL,,34.0401,-118.2668
100118989,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,0145,01,Central,0161,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0601 1300,34,M,H,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,740,,,,900 W  8TH                          ST,,34.0479,-118.2612
100118992,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,1430,01,Central,0111,1,210,ROBBERY,0305 0344 0429,41,F,A,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,800    BUNKER HILL                  AV,,34.0637,-118.244
100118993,10/20/2010 12:00:00 AM,09/28/2010 12:00:00 AM,2300,01,Central,0159,1,121,"RAPE, FORCIBLE",0400 0512 0515 0510 0503 0532 0522 0527 1206 1823,29,F,W,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,1800    INDUSTRIAL                   ST,,34.0359,-118.2344
100118994,10/20/2010 12:00:00 AM,10/17/2010 12:00:00 AM,1200,01,Central,0157,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,25,F,W,504,OTHER RESIDENCE,,,IC,Invest Cont,440,,,,7TH,SAN PEDRO,34.0401,-118.2459
100118998,10/20/2010 12:00:00 AM,10/16/2010 12:00:00 AM,1830,01,Central,0171,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1251,21,F,W,503,HOTEL,,,IC,Invest Cont,341,,,,900 W  OLYMPIC                      BL,,34.0454,-118.2657
100118999,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,1000,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0444 0913 1243 2000,19,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,6TH                          ST,BROADWAY,34.0467,-118.252
100119008,10/20/2010 12:00:00 AM,10/19/2010 12:00:00 AM,1200,01,Central,0159,2,946,OTHER MISCELLANEOUS CRIME,0377 0601 0914,44,F,A,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,946,,,,500 S  ALAMEDA                      ST,,34.0414,-118.2382
100119009,10/20/2010 12:00:00 AM,10/15/2010 12:00:00 AM,1800,01,Central,0192,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,55,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1300 S  HOPE                         ST,,34.0395,-118.2656
100119010,10/20/2010 12:00:00 AM,10/01/2010 12:00:00 AM,1530,01,Central,0192,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,1300 S  HOPE                         ST,,34.0395,-118.2656
100119016,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,1900,01,Central,0127,2,623,BATTERY POLICE (SIMPLE),1212,0,M,W,726,POLICE FACILITY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623,,,,100 N  LOS ANGELES                  ST,,34.0515,-118.2424
100119017,10/20/2010 12:00:00 AM,09/17/2010 12:00:00 AM,0001,01,Central,0192,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,32,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,1300 S  HOPE                         ST,,34.0395,-118.2656
100119020,10/20/2010 12:00:00 AM,10/01/2010 12:00:00 AM,1530,01,Central,0119,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,42,M,W,710,OTHER PREMISE,,,IC,Invest Cont,331,,,,500    RAMIREZ                      ST,,34.0552,-118.2322
100119023,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,2100,01,Central,0192,2,623,BATTERY POLICE (SIMPLE),0416,25,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623,,,,1300 S  FLOWER                       ST,,34.0401,-118.2668
100119025,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,2040,01,Central,0192,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0429 2000,43,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,1300 S  FLOWER                       ST,,34.0401,-118.2668
100119026,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,1800,01,Central,0152,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0416 0516 0508 0545 0531 0536 0527 1300,22,M,W,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,821,,,,500 S  GRAND                        AV,,34.0502,-118.254
100119027,10/20/2010 12:00:00 AM,10/01/2010 12:00:00 AM,0230,01,Central,0129,2,946,OTHER MISCELLANEOUS CRIME,,30,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,946,,,,600 E  1ST                          ST,,34.0489,-118.2371
100119028,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,2000,01,Central,0138,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1251,22,M,A,102,SIDEWALK,,,IC,Invest Cont,341,,,,3RD                          ST,SAN PEDRO,34.0467,-118.2411
100119030,10/20/2010 12:00:00 AM,10/19/2010 12:00:00 AM,1900,01,Central,0182,1,350,"THEFT, PERSON",0305 0346 0344 0400,35,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350,,,,FIGUEROA,11TH                         ST,34.0437,-118.2652
100119034,10/21/2010 12:00:00 AM,10/13/2010 12:00:00 AM,1400,01,Central,0192,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,47,F,A,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,1500 S  GRAND                        AV,,34.0365,-118.2659
100119035,10/21/2010 12:00:00 AM,10/21/2010 12:00:00 AM,0745,01,Central,0192,1,330,BURGLARY FROM VEHICLE,0344 1607,46,M,W,101,STREET,,,IC,Invest Cont,330,,,,MARGO                        ST,14TH                         ST,34.037,-118.2651
100119038,10/21/2010 12:00:00 AM,10/15/2010 12:00:00 AM,1400,01,Central,0119,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,45,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,500    RAMIREZ                      ST,,34.0552,-118.2322
100119039,10/21/2010 12:00:00 AM,10/15/2010 12:00:00 AM,1400,01,Central,0119,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1602,45,M,W,108,PARKING LOT,,,IC,Invest Cont,331,,,,500    RAMIREZ                      ST,,34.0552,-118.2322
100119040,10/21/2010 12:00:00 AM,07/18/2010 12:00:00 AM,1435,01,Central,0124,2,946,OTHER MISCELLANEOUS CRIME,1501,46,F,O,102,SIDEWALK,,,IC,Invest Cont,946,,,,100 W  1ST                          ST,,34.0522,-118.2434
100119047,10/21/2010 12:00:00 AM,04/21/2010 12:00:00 AM,1400,01,Central,0192,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1257,7,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,812,,,,1400 S  FLOWER                       ST,,34.0388,-118.2676
100119048,10/21/2010 12:00:00 AM,10/20/2010 12:00:00 AM,1200,01,Central,0195,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,PICO                         BL,HILL                         ST,34.0377,-118.2621
100119050,10/21/2010 12:00:00 AM,10/20/2010 12:00:00 AM,1100,01,Central,0138,1,330,BURGLARY FROM VEHICLE,0344,48,F,A,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,3RD,ALAMEDA,34.0455,-118.2381
100119055,10/21/2010 12:00:00 AM,10/21/2010 12:00:00 AM,1230,01,Central,0119,2,624,BATTERY - SIMPLE ASSAULT,0416 1300 2000,19,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
100119594,11/02/2010 12:00:00 AM,11/02/2010 12:00:00 AM,1130,01,Central,0185,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1100    MAPLE                        AV,,34.0371,-118.2551
100119057,10/21/2010 12:00:00 AM,10/21/2010 12:00:00 AM,1300,01,Central,0123,2,624,BATTERY - SIMPLE ASSAULT,0416,26,F,H,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,200 W  TEMPLE                       ST,,34.0549,-118.2426
100119058,10/21/2010 12:00:00 AM,09/01/2010 12:00:00 AM,1100,01,Central,0161,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0432 0917,38,F,B,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",511,VERBAL THREAT,AA,Adult Arrest,956,,,,700 S  FIGUEROA                     ST,,34.0494,-118.2599
100119064,10/21/2010 12:00:00 AM,10/21/2010 12:00:00 AM,1225,01,Central,0158,1,210,ROBBERY,0344 0400 2004,49,M,B,101,STREET,511,VERBAL THREAT,IC,Invest Cont,210,,,,7TH,KOHLER,34.0372,-118.2418
100119065,10/21/2010 12:00:00 AM,10/21/2010 12:00:00 AM,1030,01,Central,0171,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1300,45,M,H,108,PARKING LOT,,,IC,Invest Cont,331,,,,900 S  FIGUEROA                     ST,,34.0462,-118.2628
100119082,10/21/2010 12:00:00 AM,10/21/2010 12:00:00 AM,1950,01,Central,0152,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0432 0917 2004,22,F,W,210,RESTAURANT/FAST FOOD,207,OTHER KNIFE,AO,Adult Other,230,,,,FIGUEROA,WILSHIRE,34.0501,-118.2592
100119089,10/21/2010 12:00:00 AM,10/20/2010 12:00:00 AM,1800,01,Central,0185,1,310,BURGLARY,0344 1607,47,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,1200    MAPLE                        AV,,34.0357,-118.2563
100119090,10/21/2010 12:00:00 AM,10/13/2010 12:00:00 AM,1200,01,Central,0185,2,354,THEFT OF IDENTITY,0377 1202,63,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,354,,,,100 E  12TH                         ST,,34.0376,-118.2594
100119093,10/21/2010 12:00:00 AM,10/21/2010 12:00:00 AM,0645,01,Central,0153,1,310,BURGLARY,0344 1609,25,M,W,124,BUS STOP,,,IC,Invest Cont,310,,,,600 S  SPRING                       ST,,34.046,-118.2509
100119094,10/21/2010 12:00:00 AM,09/14/2010 12:00:00 AM,1500,01,Central,0138,2,649,DOCUMENT FORGERY / STOLEN FELONY,0344,0,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,649,,,,200 E  3RD                          ST,,34.0485,-118.2447
100119097,10/22/2010 12:00:00 AM,10/21/2010 12:00:00 AM,2220,01,Central,0152,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,26,M,W,503,HOTEL,,,IC,Invest Cont,341,,,,500 S  GRAND                        AV,,34.0502,-118.254
100119101,10/22/2010 12:00:00 AM,10/21/2010 12:00:00 AM,1900,01,Central,0118,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,33,F,W,729,SPECIALTY SCHOOL/OTHER,,,AO,Adult Other,745,,,,100    BLOOM                        ST,,34.0652,-118.2306
100119102,10/22/2010 12:00:00 AM,10/21/2010 12:00:00 AM,2130,01,Central,0176,1,310,BURGLARY,0344,34,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,600 E  8TH                          ST,,34.0394,-118.2496
100119105,10/22/2010 12:00:00 AM,10/21/2010 12:00:00 AM,1900,01,Central,0166,1,210,ROBBERY,0344 0416,56,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
100119113,10/22/2010 12:00:00 AM,10/15/2010 12:00:00 AM,1500,01,Central,0192,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,58,F,H,108,PARKING LOT,,,IC,Invest Cont,745,,,,1300 S  HOPE                         ST,,34.0395,-118.2656
100119115,10/22/2010 12:00:00 AM,10/22/2010 12:00:00 AM,1345,01,Central,0166,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 1402,44,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,930,,,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
100119119,10/22/2010 12:00:00 AM,10/22/2010 12:00:00 AM,1540,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402,28,F,B,710,OTHER PREMISE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,998,,,600    SAN JULIAN                   ST,,34.0428,-118.2461
100119120,10/22/2010 12:00:00 AM,10/22/2010 12:00:00 AM,1540,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402,49,F,B,710,OTHER PREMISE,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,998,,,600    SAN JULIAN                   ST,,34.0428,-118.2461
100119124,10/22/2010 12:00:00 AM,10/22/2010 12:00:00 AM,1730,01,Central,0111,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,47,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,100    PASEO DE LA PLAZA,,34.0565,-118.2395
100119132,10/23/2010 12:00:00 AM,10/22/2010 12:00:00 AM,0545,01,Central,0118,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,54,F,H,108,PARKING LOT,,,IC,Invest Cont,745,,,,200    SOTELLO                      ST,,34.0668,-118.2301
100119133,10/23/2010 12:00:00 AM,10/22/2010 12:00:00 AM,1915,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0416,40,M,O,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 E  5TH                          ST,,34.0449,-118.2458
100119139,10/23/2010 12:00:00 AM,10/22/2010 12:00:00 AM,2100,01,Central,0156,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,34,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,6TH,MAIN,34.3775,-118.527
100119140,10/23/2010 12:00:00 AM,09/23/2010 12:00:00 AM,1550,01,Central,0157,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,61,M,A,218,BEAUTY/BARBER SHOP,,,IC,Invest Cont,440,,,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
100119141,10/23/2010 12:00:00 AM,10/22/2010 12:00:00 AM,0600,01,Central,0152,2,946,OTHER MISCELLANEOUS CRIME,,42,F,H,101,STREET,511,VERBAL THREAT,IC,Invest Cont,946,,,,15TH,LOS ANGELES,34.0334,-118.2604
100119144,10/23/2010 12:00:00 AM,10/22/2010 12:00:00 AM,1815,01,Central,0158,2,624,BATTERY - SIMPLE ASSAULT,2000,25,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,1100 E  7TH                          ST,,34.038,-118.243
100119146,10/23/2010 12:00:00 AM,10/23/2010 12:00:00 AM,0230,01,Central,0129,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,25,F,H,108,PARKING LOT,,,IC,Invest Cont,331,,,,700 E  COMMERCIAL                   ST,,34.0529,-118.2329
100119148,10/23/2010 12:00:00 AM,10/22/2010 12:00:00 AM,2125,01,Central,0119,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,21,M,H,409,BEAUTY SUPPLY STORE,,,IC,Invest Cont,745,,,,1000 N  ALAMEDA                      ST,,34.0595,-118.2368
100119149,10/22/2010 12:00:00 AM,10/22/2010 12:00:00 AM,1900,01,Central,0192,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,28,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,HOPE                         ST,18TH                         ST,34.0333,-118.2697
100119150,10/22/2010 12:00:00 AM,10/22/2010 12:00:00 AM,1000,01,Central,0124,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377 1822,41,M,B,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,100 E  TEMPLE                       ST,,34.0541,-118.2417
100210488,04/26/2010 12:00:00 AM,04/26/2010 12:00:00 AM,1330,02,Rampart,0246,1,480,BIKE - STOLEN,0344,37,F,B,102,SIDEWALK,,,IC,Invest Cont,480,,,,ALVARADO,WILSHIRE,34.058,-118.2759
100119152,10/23/2010 12:00:00 AM,10/22/2010 12:00:00 AM,1400,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0202 0305 0400 1251,12,F,B,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7TH                          ST,MAPLE                        AV,34.0419,-118.2485
100119154,10/23/2010 12:00:00 AM,10/23/2010 12:00:00 AM,0910,01,Central,0131,1,330,BURGLARY FROM VEHICLE,0344 0358 1307 1609,26,F,O,101,STREET,,,IC,Invest Cont,330,,,,2ND                          ST,FIGUEROA,34.0574,-118.2545
100119155,10/23/2010 12:00:00 AM,10/23/2010 12:00:00 AM,0800,01,Central,0144,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,24,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,341,,,,400 S  MAIN                         ST,,34.0482,-118.2472
100119159,10/23/2010 12:00:00 AM,10/23/2010 12:00:00 AM,1610,01,Central,0164,1,350,"THEFT, PERSON",0344 0346 0345 0400,56,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350,,,,MAIN                         ST,7TH                          ST,34.0439,-118.2514
100119162,10/23/2010 12:00:00 AM,10/23/2010 12:00:00 AM,1651,01,Central,0191,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,32,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,1300 S  FIGUEROA                     ST,,34.0407,-118.268
100119166,10/23/2010 12:00:00 AM,10/23/2010 12:00:00 AM,1800,01,Central,0174,1,330,BURGLARY FROM VEHICLE,0344 0358 1202 1307 1609,65,F,O,101,STREET,,,IC,Invest Cont,330,,,,9TH                          ST,LOS ANGELES,34.0407,-118.2541
100119167,10/23/2010 12:00:00 AM,10/22/2010 12:00:00 AM,0200,01,Central,0185,2,624,BATTERY - SIMPLE ASSAULT,0416 0429,22,F,H,703,ENTERTAINMENT/COMEDY CLUB (OTHER),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1000 S  HILL                         ST,,34.0416,-118.2584
